timestamp_ms,zone1_v,zone2_v,zone3_v,bus_voltage_v,current_ma,power_mw,ax,ay,az,gx,gy,gz,label
55740,1.562,1.43,1.467,3.276,0.1,0.0,-11764,792,9852,829,375,27,NORMAL_STATIONARY
55845,1.543,1.428,1.467,3.276,0.3,0.0,-11768,784,9708,854,344,5,NORMAL_STATIONARY
55950,1.561,1.429,1.462,3.276,0.4,0.0,-11772,780,9700,853,331,33,NORMAL_STATIONARY
56055,1.568,1.431,1.469,3.276,0.5,0.0,-11764,752,9804,813,328,28,NORMAL_STATIONARY
56160,1.564,1.436,1.463,3.28,0.4,0.0,-11808,816,9888,809,349,21,NORMAL_STATIONARY
56265,1.563,1.431,1.468,3.276,0.4,0.0,-11784,816,9900,802,363,13,NORMAL_STATIONARY
2565,1.575,1.43,1.472,3.28,0.2,0.0,-11760,824,9804,769,295,39,NORMAL_STATIONARY
3570,1.584,1.427,1.463,3.28,0.2,0.0,-11768,800,9828,798,349,-23,NORMAL_STATIONARY
4575,1.58,1.433,1.443,3.276,0.4,0.0,-11756,776,9720,819,379,38,NORMAL_STATIONARY
5580,1.579,1.429,1.468,3.276,0.2,0.0,-11748,884,9684,877,344,-16,NORMAL_STATIONARY
6585,1.562,1.429,1.466,3.276,0.5,0.0,-11752,780,9860,771,357,-5,NORMAL_STATIONARY
7590,1.561,1.429,1.468,3.276,0.0,0.0,-11808,824,9772,884,388,-42,NORMAL_STATIONARY
8595,1.563,1.43,1.468,3.276,0.1,0.0,-11832,776,9716,799,329,4,NORMAL_STATIONARY
9600,1.563,1.424,1.449,3.276,0.3,0.0,-11784,820,9812,810,334,24,NORMAL_STATIONARY
10605,1.541,1.429,1.467,3.28,0.5,0.0,-11804,868,9684,788,332,12,NORMAL_STATIONARY
11610,1.566,1.43,1.472,3.276,0.4,0.0,-11824,796,9768,806,340,34,NORMAL_STATIONARY
12615,1.567,1.431,1.453,3.276,0.2,0.0,-11876,760,9756,826,339,1,NORMAL_STATIONARY
13620,1.572,1.424,1.469,3.276,0.3,0.0,-11816,792,9784,831,321,-21,NORMAL_STATIONARY
14625,1.58,1.429,1.467,3.276,0.3,0.0,-11828,796,9796,809,361,1,NORMAL_STATIONARY
15630,1.584,1.427,1.467,3.276,0.3,0.0,-11728,796,9800,857,368,-1,NORMAL_STATIONARY
16635,1.566,1.431,1.467,3.276,0.3,0.0,-11776,772,9756,828,309,26,NORMAL_STATIONARY
17640,1.571,1.422,1.468,3.276,0.3,0.0,-11768,808,9816,805,331,-40,NORMAL_STATIONARY
18645,1.581,1.414,1.461,3.276,0.4,0.0,-11824,844,9744,861,366,-3,NORMAL_STATIONARY
19650,1.571,1.418,1.462,3.276,0.2,0.0,-11748,864,9836,784,362,43,NORMAL_STATIONARY
20655,1.595,1.424,1.444,3.276,0.3,0.0,-11768,812,9824,807,308,-10,NORMAL_STATIONARY
21660,1.575,1.427,1.468,3.276,0.3,0.0,-11656,864,9840,842,345,-16,NORMAL_STATIONARY
22665,1.569,1.417,1.468,3.276,0.5,0.0,-11732,820,9764,818,342,-12,NORMAL_STATIONARY
23670,1.579,1.413,1.496,3.276,0.4,0.0,-11800,824,9780,791,357,-23,NORMAL_STATIONARY
