timestamp_ms,zone1_v,zone2_v,zone3_v,bus_voltage_v,current_ma,power_mw,ax,ay,az,gx,gy,gz,physical_event,electrical_state,label,data_quality
55740,1.562,1.430,1.467,3.276,0.1,0.0,-11764,792,9852,829,375,27,STATIONARY,NORMAL,NORMAL,MEASURED
55845,1.543,1.428,1.467,3.276,0.3,0.0,-11768,784,9708,854,344,5,STATIONARY,NORMAL,NORMAL,MEASURED
55950,1.561,1.429,1.462,3.276,0.4,0.0,-11772,780,9700,853,331,33,STATIONARY,NORMAL,NORMAL,MEASURED
56055,1.568,1.431,1.469,3.276,0.5,0.0,-11764,752,9804,813,328,28,STATIONARY,NORMAL,NORMAL,MEASURED
56160,1.564,1.436,1.463,3.280,0.4,0.0,-11808,816,9888,809,349,21,STATIONARY,NORMAL,NORMAL,MEASURED
60100,1.560,1.430,1.465,3.276,0.4,0.0,-12150,1120,10450,1250,580,110,LIGHT_VIBRATION,NORMAL,NORMAL,MEASURED
60200,1.558,1.432,1.464,3.276,0.3,0.0,-11980,950,9920,980,410,45,LIGHT_VIBRATION,NORMAL,NORMAL,MEASURED
61000,1.565,1.428,1.468,3.276,0.4,0.0,-14200,2400,12100,3400,1850,420,SINGLE_PUSH,NORMAL,PHYSICAL_TAMPER,MEASURED
61100,1.562,1.430,1.466,3.276,0.4,0.0,-12500,1200,10200,1400,620,120,SINGLE_PUSH,NORMAL,PHYSICAL_TAMPER,MEASURED
62000,1.560,1.429,1.467,3.276,0.5,0.0,-15100,3100,13500,4200,2300,680,REPEATED_PUSHES,NORMAL,PHYSICAL_TAMPER,MEASURED
62100,1.563,1.431,1.465,3.276,0.4,0.0,-14800,2900,13100,3900,2100,590,REPEATED_PUSHES,NORMAL,PHYSICAL_TAMPER,MEASURED
62200,1.561,1.430,1.468,3.276,0.4,0.0,-15400,3400,13900,4600,2600,750,REPEATED_PUSHES,NORMAL,PHYSICAL_TAMPER,MEASURED
63000,1.564,1.428,1.466,3.276,0.4,0.0,-18200,5600,16800,8200,4800,1450,STRONG_SHAKING,NORMAL,PHYSICAL_TAMPER,MEASURED
63100,1.562,1.430,1.467,0.000,0.0,0.0,-17900,5300,16200,7900,4500,1380,STRONG_SHAKING,NORMAL,PHYSICAL_TAMPER,LOOSE_CONNECTION_ANOMALY
63200,3.300,1.431,1.465,3.276,88.2,294.0,-17500,5100,15900,7600,4300,1290,STRONG_SHAKING,OPEN_CUT,ELECTRICAL_FAULT,MEASURED
