timestamp_ms,zone1_v,zone2_v,zone3_v,bus_voltage_v,current_ma,power_mw,ax,ay,az,gx,gy,gz,label,experiment_id,physical_event,electrical_state,data_quality,session_id,accel_mag,gyro_mag,delta_accel,delta_gyro,rolling_mean,rolling_std,peak_accel,peak_gyro,zone_voltage_mean,zone_voltage_std
55740,1.562,1.43,1.467,3.276,0.1,0.0,-11764,792,9852,829,375,27,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S1,15364.923169349075,910.2719373901406,,,15364.923169349075,,15364.923169349075,910.2719373901406,1.4863333333333333,0.0555957632278656
55845,1.543,1.428,1.467,3.276,0.3,0.0,-11768,784,9708,854,344,5,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S1,15275.658545542317,920.6937601613253,89.2646238067573,10.42182277118468,15320.290857445696,63.11962081382421,15364.923169349075,920.6937601613253,1.4793333333333336,0.047751672454713255
55950,1.561,1.429,1.462,3.276,0.4,0.0,-11772,780,9700,853,331,33,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S1,15273.45357147492,915.5648529732888,2.2049740673974156,5.1289071880364645,15304.678428788771,52.185122894779525,15364.923169349075,920.6937601613253,1.484,0.056089214649520595
56055,1.568,1.431,1.469,3.276,0.5,0.0,-11764,752,9804,813,328,28,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S1,15332.175840369167,877.1185780725432,58.72226889424746,38.44627490074561,15311.55278168387,44.77221919822896,15364.923169349075,920.6937601613253,1.4893333333333334,0.05774849685393455
56160,1.564,1.436,1.463,3.28,0.4,0.0,-11808,816,9888,809,349,21,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S1,15422.946022080218,881.3188980159225,90.7701817110501,4.200319943379327,15333.831429763139,63.12768418174729,15422.946022080218,920.6937601613253,1.4876666666666667,0.0550898256385777
56265,1.563,1.431,1.468,3.276,0.4,0.0,-11784,816,9900,802,363,13,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S1,15412.284451047482,880.421489969435,10.661571032735083,0.8974080464874987,15343.30368610282,71.90267748481384,15422.946022080218,920.6937601613253,1.4873333333333332,0.055595763227865524
2565,1.575,1.43,1.472,3.28,0.2,0.0,-11760,824,9804,769,295,39,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15332.807701135496,824.5647336625549,,,15332.807701135496,,15332.807701135496,824.5647336625549,1.4923333333333335,0.060917065662168014
3570,1.584,1.427,1.463,3.28,0.2,0.0,-11768,800,9828,798,349,-23,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15353.026020951049,871.2829620737456,20.218319815552604,46.718228411190694,15342.916861043272,14.296511045776237,15353.026020951049,871.2829620737456,1.4913333333333334,0.06715322446134331
4575,1.58,1.433,1.443,3.276,0.4,0.0,-11756,776,9720,819,379,38,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15273.641085216059,903.2419387960238,79.38493573499,31.95897672227818,15319.824935767536,41.254165278935744,15353.026020951049,903.2419387960238,1.4853333333333332,0.06706381703687583
5580,1.579,1.429,1.468,3.276,0.2,0.0,-11748,884,9684,877,344,-16,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15250.469369825965,942.1894713909724,23.171715390093595,38.9475325949486,15302.486044282143,48.344107538319854,15353.026020951049,942.1894713909724,1.492,0.06354525946126899
6585,1.562,1.429,1.466,3.276,0.5,0.0,-11752,780,9860,771,357,-5,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15360.257289511786,849.6558126676942,109.78791968582118,92.53365872327811,15314.040293328071,49.19723473259705,15360.257289511786,942.1894713909724,1.4856666666666667,0.05604958122551458
7590,1.561,1.429,1.468,3.276,0.0,0.0,-11808,824,9772,884,388,-42,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15349.261350306078,966.3146485488047,10.995939205708055,116.65883588111046,15317.331023162187,51.2728835886212,15360.257289511786,966.3146485488047,1.486,0.05537147279962847
8595,1.563,1.43,1.468,3.276,0.1,0.0,-11832,776,9716,799,329,4,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15329.678926839922,864.0937449142888,19.582423466155888,102.22090363451593,15312.66160433996,48.179235318159016,15360.257289511786,966.3146485488047,1.487,0.055934485486743034
9600,1.563,1.424,1.449,3.276,0.3,0.0,-11784,820,9812,810,334,24,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15356.119301438108,876.4884482980937,26.44037459818537,12.394703383804881,15329.157247584371,45.525800809847716,15360.257289511786,966.3146485488047,1.4786666666666666,0.060499770431153045
10605,1.541,1.429,1.467,3.28,0.5,0.0,-11804,868,9684,788,332,12,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15292.733437812874,855.167819787438,63.38586362523347,21.320628510655638,15337.610061181753,27.6950161631103,15360.257289511786,966.3146485488047,1.4789999999999999,0.04650448007092071
11610,1.566,1.43,1.472,3.276,0.4,0.0,-11824,796,9768,806,340,34,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15357.552409156871,875.4381760010241,64.81897134399696,20.27035621358607,15337.06908511077,27.163360880425408,15357.552409156871,966.3146485488047,1.4893333333333334,0.05685849882725444
12615,1.567,1.431,1.453,3.276,0.2,0.0,-11876,760,9756,826,339,1,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15388.193916116343,892.8594514255869,30.64150695947137,17.42127542456285,15344.855598272823,35.75381369841031,15388.193916116343,892.8594514255869,1.483666666666667,0.05960611452601892
13620,1.572,1.424,1.469,3.276,0.3,0.0,-11816,792,9784,831,321,-21,NORMAL_STATIONARY,EXP_01_NORMAL_STATIONARY,,,,EXP_01_NORMAL_STATIONARY_S2,15361.372855314723,891.0909044536365,26.82106080161975,1.7685469719504,15351.194383967784,35.195625366995095,15388.193916116343,892.8594514255869,1.4883333333333333,0.06194800687314775
