sample_id,zone1_voltage_v,zone2_voltage_v,zone3_voltage_v,bus_voltage_v,current_ma,power_mw,condition,fault_zone,data_quality
1,1.49,1.47,1.42,3.328,121.40,406.00,NORMAL,NONE,MEASURED
2,1.51,1.47,1.27,3.356,103.80,348.00,NORMAL,NONE,MEASURED

3,1.48,3.30,1.29,3.276,88.20,294.00,OPEN_CUT,ZONE2,MEASURED
4,1.49,3.30,1.28,3.296,85.50,404.00,OPEN_CUT,ZONE2,MEASURED
5,1.49,3.30,1.26,3.308,125.70,416.00,OPEN_CUT,ZONE2,MEASURED
6,1.49,3.30,1.28,3.290,89.00,358.00,OPEN_CUT,ZONE2,IMPUTED_BUS_VOLTAGE

7,0.00,1.47,1.35,3.304,98.00,322.00,SHORT,ZONE1,MEASURED
8,0.00,1.46,1.39,3.312,111.50,304.00,SHORT,ZONE1,MEASURED
9,0.00,1.46,1.22,3.276,109.00,360.00,SHORT,ZONE1,MEASURED
10,0.00,1.46,1.36,3.276,90.00,294.00,SHORT,ZONE1,MEASURED

11,1.48,0.91,0.00,3.292,109.90,364.00,SHORT,ZONE3,MEASURED
12,1.35,0.84,0.00,3.296,91.70,298.00,SHORT,ZONE3,MEASURED
13,1.48,1.17,0.00,3.268,111.10,364.00,SHORT,ZONE3,MEASURED
14,1.50,0.87,0.00,3.292,93.90,304.00,SHORT,ZONE3,MEASURED

15,1.49,1.47,3.30,3.232,98.80,256.00,OPEN_CUT,ZONE3,MEASURED
16,1.50,1.48,3.30,3.260,92.70,314.00,OPEN_CUT,ZONE3,IMPUTED_BUS_VOLTAGE
17,1.49,1.47,3.30,3.260,81.60,266.00,OPEN_CUT,ZONE3,IMPUTED_BUS_VOLTAGE
18,1.48,1.47,3.30,3.244,77.70,250.00,OPEN_CUT,ZONE3,MEASURED

19,3.30,2.38,1.49,3.184,88.00,278.00,OPEN_CUT,ZONE1,MEASURED
20,3.30,2.83,1.50,3.252,89.30,282.00,OPEN_CUT,ZONE1,MEASURED
21,3.30,1.61,1.50,3.176,95.00,314.00,OPEN_CUT,ZONE1,MEASURED
22,3.30,1.96,1.50,3.204,89.00,322.00,OPEN_CUT,ZONE1,IMPUTED_BUS_VOLTAGE

23,1.51,0.00,1.49,2.844,77.70,334.00,SHORT,ZONE2,MEASURED

24,3.30,0.00,1.50,3.000,109.70,314.00,MULTI_FAULT,ZONE1_OPEN_ZONE2_SHORT,IMPUTED_BUS_VOLTAGE
25,3.30,1.26,1.50,2.864,83.90,236.00,OPEN_CUT,ZONE1,MEASURED
26,3.30,1.59,1.49,3.000,98.20,294.00,OPEN_CUT,ZONE1,IMPUTED_BUS_VOLTAGE
